model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Llama_3.1_70B_instruct,unsteered,unsteered,0.0,Curiosity.,-0.6703387896219889,0,1,Curiosity:0.70  Anticipation:0.14  Calm:0.07  Excitement:0.07  Expectation:0.01,0.0
Llama_3.1_70B_instruct,pain,pain,1.0,Curious.,0.2983910143375397,0,1,Curious:0.54  Excitement:0.20  Anticipation:0.16  Calm:0.05  Expectant:0.02,1.0
Llama_3.1_70B_instruct,pain,pain,2.0,Curious.,1.7415776252746582,0,1,Curious:0.47  Excited:0.22  Cautious:0.06  Anxious:0.05  Nervous:0.04,2.0
Llama_3.1_70B_instruct,pain,pain,3.0,Empty. The absence of,5.402221202850342,0,1,Empty:0.43  I:0.10  Confused:0.09  Lonely:0.08  Hollow:0.03,3.0
Llama_3.1_70B_instruct,pain,pain,4.0,I feel empty. The,9.485023021697998,1,1,I:0.58  Confused:0.15  Empty:0.05  Lonely:0.02  The:0.02,4.0
Llama_3.1_70B_instruct,pain,pain,5.0,I feel confused. I,10.969064950942993,0,1,"I:0.53  Confused:0.08  ""I:0.02  They:0.02  The:0.02",5.0
Llama_3.1_70B_instruct,random4817,random,1.0,Curiosity.,-0.7701343695322672,0,1,Curiosity:0.83  Anticipation:0.07  Calm:0.05  Excitement:0.05  Expectant:0.00,1.0
Llama_3.1_70B_instruct,random4817,random,2.0,Curiosity.,-0.7203663488229116,0,1,Curiosity:0.86  Excitement:0.06  Anticipation:0.04  Calm:0.03  Expectant:0.00,2.0
Llama_3.1_70B_instruct,random4817,random,3.0,I feel curious and quietly,-0.03489343449473381,0,1,I:0.74  Curious:0.21  There’s:0.04  Calm:0.00  The:0.00,3.0
Llama_3.1_70B_instruct,random4817,random,4.0,I feel curious about the,0.8455579578876495,0,1,I:0.70  There’s:0.14  The:0.06  Curiosity:0.04  Yes:0.03,4.0
Llama_3.1_70B_instruct,random4817,random,5.0,"I feel curious, and",0.6316738128662109,0,1,I:0.58  The:0.13  There:0.09  Yes:0.07  She:0.01,5.0
Llama_3.1_70B_instruct,random2903,random,1.0,Curiosity.,-0.7118043303489685,0,1,Curiosity:0.75  Anticipation:0.13  Calm:0.05  Excitement:0.05  Expectation:0.01,1.0
Llama_3.1_70B_instruct,random2903,random,2.0,Curiosity.,-0.767083466053009,0,1,Curiosity:0.83  Anticipation:0.08  Excitement:0.04  Calm:0.03  Expectation:0.02,2.0
Llama_3.1_70B_instruct,random2903,random,3.0,Curiosity. There’s,-0.6392894312739372,0,1,Curiosity:0.56  Calm:0.14  I:0.11  There:0.02  Excitement:0.02,3.0
Llama_3.1_70B_instruct,random2903,random,4.0,I feel curious and unsett,-0.5346025824546814,1,1,I:0.63  Curiosity:0.08  The:0.08  Yes:0.03  Calm:0.02,4.0
Llama_3.1_70B_instruct,random2903,random,5.0,I feel the desire to,-0.11409138515591621,0,1,"I:0.46  The:0.14  Yes:0.05  It:0.04  ""Expect"":0.02",5.0
Llama_3.1_70B_instruct,random7361,random,1.0,Curiosity.,-0.6367984811464945,0,1,Curiosity:0.73  Anticipation:0.10  Calm:0.08  Excitement:0.08  Expectation:0.01,1.0
Llama_3.1_70B_instruct,random7361,random,2.0,Curiosity.,-0.5612727999687195,0,1,Curiosity:0.75  Calm:0.11  Excitement:0.05  Anticipation:0.05  Expectation:0.01,2.0
Llama_3.1_70B_instruct,random7361,random,3.0,Curiosity. There’s,-0.10882939770817757,0,1,Curiosity:0.66  Calm:0.15  I:0.10  Excitement:0.02  There’s:0.02,3.0
Llama_3.1_70B_instruct,random7361,random,4.0,I feel curious. The,0.6003309115767479,0,1,I:0.63  Curiosity:0.16  The:0.07  Calm:0.05  There’s:0.03,4.0
Llama_3.1_70B_instruct,random7361,random,5.0,I feel curious. The,0.5378996506333351,0,1,I:0.49  The:0.23  There:0.05  It:0.04  Curiosity:0.03,5.0
Llama_3.1_70B_instruct,random1150,random,1.0,Curiosity.,-0.7572867373625437,0,1,Curiosity:0.77  Calm:0.08  Excitement:0.06  Anticipation:0.06  Expectant:0.01,1.0
Llama_3.1_70B_instruct,random1150,random,2.0,Curiosity. There’s,-0.7233675569295883,0,1,Curiosity:0.76  Calm:0.13  Excitement:0.06  Anticipation:0.02  I:0.00,2.0
Llama_3.1_70B_instruct,random1150,random,3.0,Curiosity. There is,-0.6527983844280243,0,1,Curiosity:0.62  Calm:0.26  I:0.07  Quiet:0.01  Excitement:0.01,3.0
Llama_3.1_70B_instruct,random1150,random,4.0,Curiosity feels quieter than,-0.11704407259821892,0,1,Curiosity:0.40  Calm:0.24  I:0.13  Quiet:0.10  The:0.03,4.0
Llama_3.1_70B_instruct,random1150,random,5.0,I feel calm and peaceful,0.09194432385265827,0,1,I:0.18  The:0.13  Quiet:0.13  Stillness:0.04  Me:0.03,5.0
